NGO Name,Year,City,Zone_ID,Poverty_Cluster,Month,Program,Category,Beneficiaries
Alkhidmat,2019,Nationwide,Zone_001,High,Jan,Disaster Management,Ration/Food,523
Alkhidmat,2019,Nationwide,Zone_002,High,Jan,Disaster Management,Ration/Food,432
Alkhidmat,2019,Nationwide,Zone_003,High,Jan,Disaster Management,Ration/Food,545
Alkhidmat,2019,Nationwide,Zone_004,High,Jan,Disaster Management,Ration/Food,502
Alkhidmat,2019,Nationwide,Zone_005,High,Jan,Disaster Management,Ration/Food,339
Alkhidmat,2019,Nationwide,Zone_006,High,Jan,Disaster Management,Ration/Food,577
Alkhidmat,2019,Nationwide,Zone_007,High,Jan,Disaster Management,Ration/Food,519
Alkhidmat,2019,Nationwide,Zone_008,High,Jan,Disaster Management,Ration/Food,526
Alkhidmat,2019,Nationwide,Zone_009,High,Jan,Disaster Management,Ration/Food,349
Alkhidmat,2019,Nationwide,Zone_010,High,Jan,Disaster Management,Ration/Food,435
Alkhidmat,2019,Nationwide,Zone_011,High,Jan,Disaster Management,Ration/Food,414
Alkhidmat,2019,Nationwide,Zone_012,High,Jan,Disaster Management,Ration/Food,564
Alkhidmat,2019,Nationwide,Zone_013,High,Jan,Disaster Management,Ration/Food,487
Alkhidmat,2019,Nationwide,Zone_014,High,Jan,Disaster Management,Ration/Food,536
Alkhidmat,2019,Nationwide,Zone_015,High,Jan,Disaster Management,Ration/Food,434
Alkhidmat,2019,Nationwide,Zone_016,High,Jan,Disaster Management,Ration/Food,375
Alkhidmat,2019,Nationwide,Zone_017,High,Jan,Disaster Management,Ration/Food,463
Alkhidmat,2019,Nationwide,Zone_018,High,Jan,Disaster Management,Ration/Food,331
Alkhidmat,2019,Nationwide,Zone_019,High,Jan,Disaster Management,Ration/Food,537
Alkhidmat,2019,Nationwide,Zone_020,High,Jan,Disaster Management,Ration/Food,484
Alkhidmat,2019,Nationwide,Zone_021,Medium,Jan,Disaster Management,Ration/Food,326
